year	month	stream	site	wtemp	pH	conductivity	depth	flow	nh4	no3	season	urban.rural.ref	stream_order	richness	shannon.H
2015	3_June	FH	FHU	17.9	7.2	274.3	0.132	NA	0.000841	0.175169	early	rural	2	3	1.039720771
2015	3_June	LC	LCD	22.9	7.7	381.5	0.375	NA	0.013851	0.221301	early	urban	3	5	1.359236701
2015	3_June	LC	LCU	21.7	6.5	205.3	0.15	NA	0.013709	0.044997	early	rural	2	2	0.693147181
2015	3_June	PC	PCD	20.6	7.1	231.6	0.24	NA	0.016005	0.107794	early	urban	2	8	2.191387564
2015	3_June	PC	PCU	20.1	7.7	184.3	0.135	NA	0.011275	0.167932	early	rural	2	14	2.125537572
2015	3_June	PT	PTD	21.5	7.5	208	0.28	NA	0.024969	0.192381	early	urban	3	0	1.842857006
2015	3_June	PT	PTU	18.3	8	123.4	0.14	NA	0.010078	0.08014	early	rural	2	4	2.163770326
2015	3_June	SC	SCD	22.4	7	158.5	0.26	NA	0.017663	0.021192	early	reference	3	18	0
2015	3_June	SC	SCU	23.6	6.5	162.6	0.185	NA	0.028067	0.042615	early	reference	3	18	0.836988217
2015	3_June	TB	TBD	19.1	6.3	69.7	0.17	NA	0.012761	0.125124	early	reference	3	9	1.843073789
2015	3_June	TB	TBU	17.2	6.1	68.1	0.3	NA	0.009131	0.218246	early	reference	2	11	2.293412589
2015	4_July	CC	CCD	26.7	8	144.1	0.354	NA	0.02379	0.019743	late	urban	4	9	1.843437789
2015	4_July	CC	CCU	23.4	7.3	87.32	0.29	NA	0.026137	0.124371	late	rural	3	13	2.050000125
2015	4_July	FH	FHD	18.6	7.7	519	0.068	NA	0.010364	0.121327	late	urban	2	0	0
2015	4_July	FH	FHU	17.4	7.3	425.2	0.177	NA	0.039323	0.216565	late	rural	2	2	0.693147181
2015	4_July	LC	LCD	21.7	7.5	516.7	0.255	NA	0.02959	0.157282	late	urban	3	3	1.098612289
2015	4_July	LC	LCU	21.4	7.1	208.8	0.115	NA	0.020781	0.046483	late	rural	2	5	1.359236701
2015	4_July	PC	PCD	19	8.1	315.8	0.09	NA	0.002746	0.104281	late	urban	2	9	1.821738393
2015	4_July	PC	PCU	17.3	7	203.5	0.079	NA	0.020951	0.261934	late	rural	2	5	1.66501422
2015	4_July	PT	PTD	23	7.4	366.1	0.118	NA	0.088234	0.118825	late	urban	3	6	1.88648516
2015	4_July	PT	PTU	20.2	6.7	159.3	0.076	NA	0.016048	0.038151	late	rural	2	0	1.549826046
2015	4_July	SC	SCD	20.9	7.5	134.8	0.195	NA	0.020352	0.009934	late	reference	3	8	1.676987774
2015	4_July	SC	SCU	20.7	7.4	129.3	0.123	NA	0.035988	0.014618	late	reference	3	6	0
2015	4_July	TB	TBD	22	7.3	64.69	0.109	NA	0.36361	0.023793	late	reference	3	11	2.127985431
2015	4_July	TB	TBU	18.9	7	85.69	0.102	NA	0.024559	0.171788	late	reference	2	2	0.693147181
2015	5_August	CC	CCD	27.1	6	230	0.2	NA	0.005679	0.049828	late	urban	4	7	1.716516447
2015	5_August	CC	CCU	24.7	7.4	122.8	0.12	NA	0.037642	0.120747	late	rural	3	9	1.668021467
2015	5_August	FH	FHD	22.6	7.8	124.5	0.059	NA	0.003798	0.439938	late	urban	2	0	0
2015	5_August	FH	FHU	19.2	7.1	594.8	0.026	NA	0.006681	0.525563	late	rural	2	3	1.039720771
