coll_year	month	stream	stream_site	depth	pH	conductance	salinity	flow	nitrate 	phosphorous	season	site_type	stream_order	richness	rock_size	cover
2015	4_July	SC	SCD	3.552256672	7.494605906	115.3551374	0.206317859	NA	0.020953507	0.009905712	late	reference	3	3.024992017	192.9727115	2.409354792
2014	4_July	FH	FHU	3.008370483	7.154850438	429.5866393	0.092049506	0.054091794	0.0298571	0.436752745	late	rural	2	1.134372006	724.2677604	1.578393608
2015	5_August	CC	CCU	4.198121521	7.394677827	105.0861341	0.126964836	NA	0.038754516	0.120403159	late	rural	3	3.403116019	175.8581651	2.396472757
2014	4_July	TB	TBU	2.991374039	7.634505216	90.91490949	0.058192217	0.162275382	0.060743756	0.237322268	late	reference	2	5.671860032	152.5426961	3.126560273
2014	5_August	PT	PTU	3.161338473	6.835080586	122.8001648	0.137545239	0.054091794	0.030886656	0.107692458	late	rural	2	3.024992017	202.7701692	1.650872195
2014	1_April	PC	PCU	0.645864849	6.964987088	89.51147903	0.158706045	0.378642557	0.015443328	0.336040354	early	rural	2	4.159364024	219.0165864	2.383627415
2014	1_April	TB	TBU	0.69685418	6.81509497	42.53078879	0.126964836	0.270458969	0.024709325	0.789744689	early	reference	2	4.159364024	101.9431676	2.631026821
2015	1_April	FH	FHD	0.883815057	5.396116252	164.7319284	0.264510076	NA	0.011471304	0.24733268	early	urban	2	2.646868015	372.0553564	2.423121772
2015	3_June	LC	LCD	3.89218554	7.694462063	326.4687309	0.396765114	NA	0.014260369	0.22067082	early	urban	3	1.890620011	491.7331626	1.952836812
2015	4_July	PT	PTD	3.909181983	7.394677827	313.2901766	0.124848756	NA	0.090841773	0.118486632	late	urban	3	2.268744013	524.1019786	2.710342991
2015	5_August	SC	SCU	4.266107295	7.494605906	141.712246	0.087817345	NA	0.007021566	0.073609789	late	reference	3	4.537488026	237.1232804	2.050281114
2015	6_September	CC	CCD	3.467274455	6.695181276	249.793506	0.107920111	NA	0.019599642	0.088902118	late	urban	4	0	417.9421836	0
2014	4_July	PT	PTD	3.89218554	7.814375758	279.1457405	0.17457665	0.270458969	0.08133486	0.446724268	late	urban	3	0.756248004	417.0740545	1.897741121
2014	2_May	PC	PCU	3.076356256	8.13414561	175.599957	NA	0.216367176	0.013384217	0.035897486	early	rural	2	3.403116019	289.5830857	3.028840766
2015	6_September	SC	SCU	NA	NA	NA	0	NA	NA	NA	late	reference	2	0	NA	1.913962644
2015	6_September	PC	PCU	2.498477181	7.094893591	277.519815	0.021160806	NA	0.01754568	0.222858572	late	rural	2	4.537488026	464.3250847	0
2014	1_April	LC	LCU	0.628868406	5.506037139	88.57015373	0.148125642	0.378642557	0.015443328	0.093732324	early	rural	2	2.268744013	215.6680882	2.279758624
